timestamp,dex,pool,pair,trade_size_usd,quoted_price,actual_execution_price,slippage_bps,expected_slippage_bps,slippage_excess_bps,user_loss_usd,tx_hash_prefix,block_number,gas_price_gwei
2026-08-11T09:23:14Z,Aerodrome,volatile,AERO/ETH,500,0.0002841,0.0002832,31.6,25.0,6.6,0.16,0x7a3f,18452341,0.052
2026-08-11T09:23:14Z,Aerodrome,volatile,AERO/ETH,2500,0.0002841,0.0002798,153.4,125.0,28.4,3.72,0x8b2e,18452341,0.052
2026-08-11T09:23:14Z,Aerodrome,volatile,AERO/ETH,10000,0.0002841,0.0002689,543.2,500.0,43.2,15.20,0x9c1d,18452341,0.052
2026-08-11T10:45:33Z,Uniswap V3,0.05%,USDC/ETH,1000,2654.20,2653.80,1.5,1.0,0.5,0.15,0xa4f5,18452389,0.048
2026-08-11T10:45:33Z,Uniswap V3,0.05%,USDC/ETH,5000,2654.20,2651.40,10.5,5.0,5.5,2.80,0xb5g6,18452389,0.048
2026-08-11T10:45:33Z,Uniswap V3,0.05%,USDC/ETH,20000,2654.20,2638.90,57.8,20.0,37.8,15.30,0xc6h7,18452389,0.048
2026-08-11T14:12:08Z,Aerodrome,stable,USDC/DAI,1000,0.9998,0.9997,1.0,0.5,0.5,0.10,0xd8i9,18452456,0.055
2026-08-11T14:12:08Z,Aerodrome,stable,USDC/DAI,10000,0.9998,0.9995,3.0,2.0,1.0,3.00,0xe9j0,18452456,0.055
2026-08-11T16:34:51Z,Uniswap V3,0.3%,WBTC/ETH,5000,13.420,13.405,11.2,8.0,3.2,0.56,0xf1k2,18452512,0.061
2026-08-11T16:34:51Z,Uniswap V3,0.3%,WBTC/ETH,20000,13.420,13.312,80.4,32.0,48.4,8.62,0xa3l4,18452512,0.061
2026-08-11T19:05:22Z,Aerodrome,volatile,AERO/ETH,100,0.0002845,0.0002845,0.0,1.0,-1.0,0.00,0xb5m6,18452578,0.058
2026-08-11T22:47:15Z,Uniswap V3,1.0%,ETH/USDC,500,2650.00,2649.50,1.9,2.0,-0.1,0.25,0xc7n8,18452645,0.049
2026-08-12T03:18:44Z,Aerodrome,volatile,AERO/ETH,750,0.0002839,0.0002834,17.6,15.0,2.6,0.38,0xd9o0,18452723,0.044
2026-08-12T07:52:11Z,Uniswap V3,0.05%,USDC/ETH,3000,2658.30,2656.10,8.3,6.0,2.3,2.20,0xe1p2,18452801,0.042
2026-08-12T11:29:37Z,Aerodrome,stable,USDC/DAI,5000,0.9999,0.9998,1.0,1.5,-0.5,0.50,0xf3q4,18452867,0.046
2026-08-12T15:03:59Z,Uniswap V3,0.3%,WBTC/ETH,8000,13.380,13.354,19.4,15.0,4.4,2.08,0xa5r6,18452934,0.050
2026-08-12T18:41:25Z,Aerodrome,volatile,AERO/ETH,1500,0.0002842,0.0002828,49.3,40.0,9.3,2.10,0xb7s8,18453001,0.053
2026-08-12T21:15:48Z,Uniswap V3,0.05%,USDC/ETH,7000,2655.80,2652.40,12.8,10.0,2.8,2.38,0xc9t0,18453056,0.056
2026-08-13T01:44:12Z,Aerodrome,stable,USDC/DAI,2000,0.9997,0.9996,1.0,1.0,0.0,0.20,0xd1u2,18453123,0.047
2026-08-13T05:22:37Z,Uniswap V3,1.0%,ETH/USDC,200,2651.20,2651.00,0.8,1.0,-0.2,0.04,0xe3v4,18453189,0.045
2026-08-13T09:08:55Z,Aerodrome,volatile,AERO/ETH,3000,0.0002840,0.0002812,98.6,80.0,18.6,4.20,0xf5w6,18453256,0.051
2026-08-13T12:37:19Z,Uniswap V3,0.3%,WBTC/ETH,12000,13.390,13.301,66.5,45.0,21.5,5.35,0xa7x8,18453312,0.049
2026-08-13T16:15:43Z,Aerodrome,stable,USDC/DAI,15000,0.9998,0.9994,4.0,5.0,-1.0,6.00,0xb9y0,18453378,0.062
2026-08-13T19:48:07Z,Uniswap V3,0.05%,USDC/ETH,15000,2654.00,2641.50,47.1,25.0,22.1,12.53,0xc1z2,18453445,0.067
2026-08-13T23:22:31Z,Aerodrome,volatile,AERO/ETH,200,0.0002843,0.0002843,0.0,2.0,-2.0,0.00,0xd3a4,18453512,0.055
